batch_id,paper_id,title,relevance_score,reason,tags
batch_00020,10.1145/3763174,AutoVerus: Automated Proof Generation for Rust Code.,5,"LLM agent network for automated proof generation in Rust verifier Verus, integrating formal verification.",PL_LLMS;PROGRAM_REASONING;VERIFICATION;AGENTS
batch_00019,10.1145/3763163,Large Language Model Powered Symbolic Execution.,5,"LLMs directly integrated with symbolic execution for program analysis, using path constraints and semantic reasoning.",PL_LLMS;PROGRAM_REASONING;SYMBOLIC_EXEC;VERIFICATION
batch_00012,10.1145/3763102,Active Learning for Neurosymbolic Program Synthesis.,5,Active learning for neurosymbolic program synthesis; handles neural mispredictions via conformal evaluation for semantic correctness.,PL_LLMS;SYNTHESIS;RELIABILITY
batch_00001,10.1145/3720499,Laurel: Unblocking Automated Verification with Large Language Models.,5,"LLMs generate assertions to unblock SMT-based program verifiers (Dafny), integrating formal verification with AI.",PL_LLMS;PROGRAM_REASONING;FORMAL_METHODS;VERIFICATION;SMT
batch_00011,10.1145/3763090,Memory-Safety Verification of Open Programs with Angelic Assumptions.,4,"LLM mines code patterns for formal synthesis of angelic assumptions in memory-safety verification, integrating AI with program analysis.",PL_LLMS;VERIFICATION;SYNTHESIS
batch_00010,10.1145/3763079,Interleaving Large Language Models for Compiler Testing.,4,LLMs generate code for compiler testing; method focuses on semantic correctness via miscompilation bug finding.,PL_LLMS;RELIABILITY;SYNTHESIS
batch_00004,10.1145/3720488,Artemis: Toward Accurate Detection of Server-Side Request Forgeries through LLM-Assisted Inter-procedural Path-Sensitive Taint Analysis.,4,"Uses LLM-assisted static taint analysis for detecting SSRF vulnerabilities, integrating AI with program analysis for semantic correctness.",PL_LLMS;PROGRAM_REASONING;VERIFICATION
batch_00006,10.1145/3720471,Verification of Bit-Flip Attacks against Quantized Neural Networks.,4,"Formal verification (abstract interpretation, MILP) of neural network robustness against bit-flip attacks, integrating PL/formal methods with AI model security.",FORMAL_METHODS;VERIFICATION
batch_00014,10.1145/3763121,Automated Discovery of Tactic Libraries for Interactive Theorem Proving.,3,"Automates discovery of custom tactics for ITPs (Lean, Rocq), a formal tool, using learned proof strategies.",FORMAL_METHODS;OTHER
batch_00013,10.1145/3763112,What's in the Box: Ergonomic and Expressive Capture Tracking over Generic Data Structures.,3,"Presents a formal type system (capture tracking) for effect/resource safety, with mechanized proofs. LLM connection is weak, but PL/formal methods contribution is strong.",FORMAL_METHODS;TYPE_SYSTEMS
batch_00002,10.1145/3720482,Multi-Language Probabilistic Programming.,2,Multi-language PPL foundation; uses neural network for soft evidence in program analysis.,PL_LLMS;PROGRAM_REASONING;OTHER
